"filename", "language", "JavaScript JSX", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/crfm/frontend/src/components/layout/admin/Sidebar.jsx", "JavaScript JSX", -6, 0, -1, -7
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/components/etape4/Etapes4CompagnieVehicules.jsx", "JavaScript JSX", 72, 2, 12, 86
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/components/etape4/Etapes4Resume.jsx", "JavaScript JSX", -37, 0, -3, -40
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/components/etape4/Etapes4VehiculesDisponibles.jsx", "JavaScript JSX", -100, -17, -2, -119
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/components/etape4/Etapes4VehiculesSelectionnes.jsx", "JavaScript JSX", -89, -5, -4, -98
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/CreerMissions2Admin.jsx", "JavaScript JSX", -16, 7, 4, -5
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/CreerMissions3Admin.jsx", "JavaScript JSX", -391, -8, 6, -393
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/CreerMissions4Admin.jsx", "JavaScript JSX", -17, 1, 16, 0
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/CreerMissions5Admin.jsx", "JavaScript JSX", -32, -6, -3, -41
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/Creermissions1Admin.jsx", "JavaScript JSX", -8, 6, 3, 1
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/VisuelMissionsAdmin.jsx", "JavaScript JSX", 194, 5, 64, 263
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/sections/pages/SectionsAdmin.jsx", "JavaScript JSX", 115, 8, 23, 146
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/users/page/Utilisateurs.jsx", "JavaScript JSX", 2, 15, 0, 17
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/vehicules/pages/AjouterVehiculeAdmin.jsx", "JavaScript JSX", 43, 12, 17, 72
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/vehicules/pages/VehiculesPage.jsx", "JavaScript JSX", 0, 0, 2, 2
"Total", "-", -270, 20, 134, -116
